Details,Product,Odometer,Distance,Unit,MPG,ID,Litres
Jaguar XJL Portfolio V6 D Limousine,Diesel,66089.0,4140.0,Miles,24.1,2,
Vauxhall CORSA  CDTI Car,Diesel,6075.0,1958.0,Miles,45.1,3,
Vauxhall Mokka 4x4 Utility Vehicle,Diesel,21650.0,5060.0,Miles,43.73,4,
Peugeot 308 Car Car,Diesel,64740.0,42009.0,Miles,53.23,5,
Peugeot Expert Combi 9 seat MPV,Diesel,19023.0,8934.0,Miles,36.9,6,
Ford Kuga Zetec 4x4 Utility Vehicle,Diesel,72335.0,4113.0,Miles,38.37,7,
Peugeot Expert Welfare MPV Welfare,Diesel,81457.0,5950.0,Miles,31.28,8,
Peugeot Expert Welfare MPV Welfare,Diesel,110090.0,6279.0,Miles,33.22,9,
Ford Mondeo car Car,Diesel,51832.0,2978.0,Miles,25.94,10,
Peugeot Expert Tepee MPV,Diesel,54309.0,7070.0,Miles,35.9,11,
Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,38118.0,2512.0,Miles,43.22,12,
Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,46493.0,5758.0,Miles,44.8,13,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,29058.0,10480.0,Miles,18.56,14,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,39094.0,10222.0,Miles,18.06,15,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,46858.0,13380.0,Miles,19.98,16,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,32245.0,6856.0,Miles,17.91,17,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,68201.0,19145.0,Miles,19.68,18,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,30076.0,4693.0,Miles,17.95,19,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,34624.0,9078.0,Miles,18.37,20,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,43537.0,13342.0,Miles,20.25,21,
Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,67761.0,17113.0,Miles,20.26,22,
